"","SHELFMARK","MID","Run","BB","SP","BD","CL","INC","BBID","BBNF","BBF1T","BBF1ID","BBF2T","BBF2ID","BBF3T","BBF3ID","BBF4T","BBF4ID","SPID","SPNF","SPF1T","SPF1ID","SPF2T","SPF2ID","SPF3T","SPF3ID","SPF4T","SPF4ID","SPF5T","SPF5ID","SPF6T","SPF6ID","SPF7T","SPF7ID","SPF8T","SPF8ID","BD1ID","BD2ID","CLP1","CLP1CSR","CLP2","CLP2CSR","BD1BDCLC1ID","BD2BDCLC1ID","BD2CSR1ID","BD1BDCLC2ID","BD2BDCLC2ID","BD2CSR2ID","SR","AR","SIR","VSR","KCR"
"725","Syriac0161","MID1230013121",1,2,3,0,0,13121,"CID1011722",2,"sawn-in recesses","FID10014122","sawn-in recesses","FID10014123",NA,NA,NA,NA,"CID1011721",2,"sawn-in recesses","FID10014122","sawn-in recesses","FID10014123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE
"726","Syriac0168","MID1239313128",1,2,3,9,3,13128,"CID1011748",4,"sawn-in recesses","FID10014143","sawn-in recesses","FID10014144","knife-cut recesses","FID10014145","knife-cut recesses","FID10014146","CID1011747",2,"sawn-in recesses","FID10014143","sawn-in recesses","FID10014144",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011749","CID1011750",TRUE,FALSE,FALSE,FALSE,"CID1011751","CID1011751",NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"727","Syriac0169","MID1230013129",1,2,3,0,0,13129,"CID1011753",2,"sawn-in recesses","FID10014147","sawn-in recesses","FID10014148",NA,NA,NA,NA,"CID1011752",8,"sawn-in recesses","FID10014147","sawn-in recesses","FID10014148","sewing recesses","FID10014149","sewing recesses","FID10014150","sewing recesses","FID10014151","sewing recesses","FID10014152","sewing recesses","FID10014153","sewing recesses","FID10014154",NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,FALSE
"728","Syriac0172","MID1229013131",1,2,2,9,0,13131,"CID1011759",2,"v-shaped recesses","FID10014160","v-shaped recesses","FID10014161",NA,NA,NA,NA,"CID1011758",4,"v-shaped recesses","FID10014160","v-shaped recesses","FID10014161","adhesive recesses","FID10014162","adhesive recesses","FID10014163",NA,NA,NA,NA,NA,NA,NA,NA,"CID1011760","CID1011761",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE
"729","Syriac0173","MID1209013132",1,2,0,9,0,13132,"CID1011762",2,"v-shaped recesses",NA,"v-shaped recesses",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011763","CID1011764",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE
"730","Syriac0174","MID1230013133",1,2,3,0,0,13133,"CID1011766",4,"sawn-in recesses","FID10014164","sawn-in recesses","FID10014165","knife-cut recesses","FID10014166","knife-cut recesses","FID10014167","CID1011765",2,"sawn-in recesses","FID10014164","sawn-in recesses","FID10014165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"731","Syriac0183","MID1219313141",1,2,1,9,3,13141,"CID1011795",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011796","CID1011797",TRUE,FALSE,FALSE,FALSE,"CID1011798","CID1011798",NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"732","Syriac0193","MID1209013147",1,2,0,9,0,13147,"CID1011819",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011820","CID1011821",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"733","Syriac0194","MID1230013148",1,2,3,0,0,13148,"CID1011823",4,"sawn-in recesses","FID10014223","sawn-in recesses","FID10014224","knife-cut recesses","FID10014225","knife-cut recesses","FID10014226","CID1011822",2,"sawn-in recesses","FID10014223","sawn-in recesses","FID10014224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE
"734","Syriac0201","MID1230013154",1,2,3,0,0,13154,"CID1011845",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011844",3,"adhesive recesses","FID10014257","adhesive recesses","FID10014258","adhesive recesses","FID10014259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"735","Syriac0205","MID1230013157",1,2,3,0,0,13157,"CID1011855",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011854",3,"adhesive recesses","FID10014276","adhesive recesses","FID10014277","adhesive recesses","FID10014278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE
"736","Syriac0210","MID1231013160",1,2,3,1,0,13160,"CID1011865",0,NA,NA,NA,NA,NA,NA,NA,NA,"CID1011864",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"737","Syriac0212","MID1239313161",1,2,3,9,3,13161,"CID1011867",4,"v-shaped recesses","FID10014288","v-shaped recesses","FID10014289","knife-cut recesses","FID10014296","knife-cut recesses","FID10014297","CID1011866",8,"v-shaped recesses","FID10014288","v-shaped recesses","FID10014289","sewing recesses","FID10014290","sewing recesses","FID10014291","sewing recesses","FID10014292","sewing recesses","FID10014293","sewing recesses","FID10014294","sewing recesses","FID10014295","CID1011868","CID1011869",TRUE,FALSE,FALSE,FALSE,"CID1011870","CID1011870",NA,NA,NA,NA,TRUE,FALSE,FALSE,TRUE,TRUE
